Grammar,Kanji,終,% Done,# Done,Explanation,Example (JP),Translation (EN)
～極まる,託けて,FALSE,,,Using as an excuse,病気にかこつけて休む。,Take time off using illness as an excuse.
～にかこつけて,当たらない,FALSE,,,Not worth,驚くにはあたらない。,Not worth being surprised about.
～に（は）あたらない,難くない,FALSE,,,Not hard to,想像にかたくない。,Not hard to imagine.
～にかたくない,,FALSE,,,Must not (written),立入るべからず。,Do not enter.
～べからず,禁じ得ない,FALSE,,,Cannot suppress,涙を禁じ得ない。,I cannot hold back my tears.
～を禁じ得ない,,FALSE,,,Not even one,一日たりとも忘れない。,I won’t forget even for a day.
～たりとも,嫌い,FALSE,,,Tend to (negative),考えすぎるきらいがある。,He tends to overthink.
～きらいがある,始末だ,FALSE,,,End up (bad result),借金までするしまつだ。,Ended up in debt.
～しまつだ,余儀なくされる,FALSE,,,Be forced to,退職を余儀なくされた。,Was forced to retire.
～を余儀なくされる,て止まない,FALSE,,,Sincerely always,成功を願ってやまない。,I sincerely wish for your success.
～てやまない,割に,FALSE,,,Considering,若い割に落ち着いている。,Calm for someone so young.
～割りに（は）,甲斐もなく,FALSE,,,"Despite efforts, no result",努力のかいもなく失敗した。,Failed despite the effort.
～かいもなく,だけまし,FALSE,,,At least,雨が止んだだけましだ。,At least the rain stopped.
～だけまし,ないでは済まない,FALSE,,,Cannot avoid doing,謝らないではすまない。,I must apologize.
～ないではすまない,踏まえて,FALSE,,,Based on,事実をふまえて話す。,Speak based on the facts.
～をふまえて,押して,FALSE,,,Despite hardship,病気をおして出席した。,Attended despite illness.
～をおして,経て,FALSE,,,Through/after,留学を経て成長した。,Grew through study abroad.
～を経て,故,FALSE,,,Because of (formal),失敗ゆえに成功した。,Succeeded because of failure.
～ゆえ,,FALSE,,,Although,知っていながらも言わない。,"Though I know, I won’t say."
～ながらも,こと無しに,FALSE,,,Without doing,努力することなしに成功はない。,There is no success without effort.
～ことなしに,,FALSE,,,It’s not like~,子供ではあるまいし泣くな。,"You’re not a kid, don’t cry."
～ではあるまいし,,FALSE,,,Ever since,引っ越してからというもの静かだ。,It’s been quiet ever since I moved.
～てからというもの,,FALSE,,,Even if assuming,私としたところで驚いた。,Even I was surprised.
～としたところで,,FALSE,,,Even,子供ですらできる。,Even a child can do it.
～（で）すら,,FALSE,,,Even though (formal),彼といえども失敗する。,Even he can fail.
～といえども,,FALSE,,,Left as is,テレビをつけっぱなし。,TV left on.
～っぱなし,,FALSE,,,Entirely,黒ずくめの服,All-black clothes.
～ずくめ,,FALSE,,,While in state,涙ながらに話す。,Speak while crying.
～ながらに,にも増して,FALSE,,,Even more than,去年にもまして暑い。,Even hotter than last year.
～にもまして,に引き換え,FALSE,,,In contrast to,兄にひきかえ弟は真面目だ。,"In contrast to his brother, he’s serious."
～にひきかえ,はおろか,FALSE,,,Let alone,英語はおろか日本語も話せない。,"Can't speak Japanese, let alone English."
～はおろか,,FALSE,,,,,
